shitTime,Temperature,Humidity,Scored Probabilities
2021-04-06T17:57:50.4580000Z,39.6,13,0.999968707561493
2021-04-06T17:58:10.6020000Z,39.6,13,0.999968707561493
2021-04-06T17:58:30.8570000Z,39.5,13,0.999968707561493
2021-04-06T17:58:51.0170000Z,39.6,13,0.999968707561493
2021-04-06T17:59:11.1620000Z,39.6,13,0.999968707561493
2021-04-06T17:59:31.3110000Z,39.6,13,0.999968707561493
2021-04-06T17:59:51.4720000Z,39.6,13,0.999968707561493
2021-04-06T18:00:11.6180000Z,39.6,13,0.999968707561493
2021-04-06T18:00:31.7710000Z,39.6,13,0.999968707561493
2021-04-06T18:00:51.9310000Z,39.6,13,0.999968707561493
2021-04-06T18:01:12.0760000Z,39.6,13,0.999968707561493
2021-04-06T18:01:32.2230000Z,39.6,13,0.999968707561493
2021-04-06T18:01:52.3880000Z,39.6,13,0.999968707561493
2021-04-06T18:02:12.5500000Z,39.6,13,0.999968707561493
2021-04-06T18:02:32.7110000Z,39.6,13,0.999968707561493
2021-04-06T18:02:52.9330000Z,39.7,13,0.999968707561493
2021-04-06T18:03:13.0950000Z,39.6,13,0.999968707561493
2021-04-06T18:03:33.2550000Z,39.5,13,0.999968707561493
2021-04-06T18:03:53.4040000Z,39.6,13,0.999968707561493
2021-04-06T18:04:13.5610000Z,39.6,13,0.999968707561493
2021-04-06T18:04:33.7040000Z,39.6,13,0.999968707561493
2021-04-06T18:04:53.8650000Z,39.6,13,0.999968707561493
2021-04-06T18:05:14.0090000Z,39.6,13,0.999968707561493
2021-04-06T18:05:34.1560000Z,39.6,13,0.999968707561493
2021-04-06T18:05:54.3160000Z,39.5,13,0.999968707561493
2021-04-06T18:06:07.6790000Z,39.6,13,0.999968707561493
2021-04-06T18:06:28.0150000Z,39.3,13,0.999968707561493
2021-04-06T18:06:48.1570000Z,37.8,11,0.999968707561493
2021-04-06T18:07:08.3170000Z,36.3,11,0.999968707561493
2021-04-06T18:07:28.4600000Z,33.1,43,0.999968707561493
2021-04-06T18:07:48.7140000Z,31.8,20,9.9028206022922E-05
2021-04-06T18:08:08.8740000Z,31.5,17,9.9028206022922E-05
2021-04-06T18:08:29.0180000Z,31.4,16,9.9028206022922E-05
2021-04-06T18:08:49.1800000Z,31.3,16,9.9028206022922E-05
2021-04-06T18:09:09.3250000Z,31,16,9.9028206022922E-05
2021-04-06T18:09:29.4830000Z,30.8,16,9.9028206022922E-05
2021-04-06T18:09:49.8320000Z,30.6,15,9.9028206022922E-05
2021-04-06T18:10:09.9890000Z,30.4,15,9.9028206022922E-05
2021-04-06T18:10:30.3420000Z,30.2,16,9.9028206022922E-05
2021-04-06T18:10:50.4870000Z,30,16,9.9028206022922E-05
2021-04-06T18:11:10.6430000Z,29.8,17,9.9028206022922E-05
2021-04-06T18:11:30.8030000Z,29.6,17,9.9028206022922E-05
2021-04-06T18:11:51.1660000Z,29.5,17,9.9028206022922E-05
2021-04-06T18:12:11.4200000Z,29.4,17,9.9028206022922E-05
2021-04-06T18:12:31.6590000Z,29.3,18,9.9028206022922E-05
2021-04-06T18:12:51.8040000Z,29.1,18,9.9028206022922E-05
2021-04-06T18:13:11.9530000Z,29,18,9.9028206022922E-05
2021-04-06T18:13:32.1140000Z,28.9,17,9.9028206022922E-05
2021-04-06T18:13:52.2610000Z,28.8,17,9.9028206022922E-05
2021-04-06T18:14:12.4200000Z,28.6,17,9.9028206022922E-05
2021-04-06T18:14:32.5640000Z,28.5,17,9.9028206022922E-05
2021-04-06T18:14:52.7250000Z,28.5,18,9.9028206022922E-05
2021-04-06T18:15:12.8720000Z,28.3,18,9.9028206022922E-05
2021-04-06T18:15:33.0190000Z,28.3,18,9.9028206022922E-05
2021-04-06T18:15:53.1790000Z,28.2,18,9.9028206022922E-05
2021-04-06T18:16:13.3370000Z,28,19,9.9028206022922E-05
2021-04-06T18:16:33.4830000Z,27.9,17,9.9028206022922E-05
2021-04-06T18:16:53.6720000Z,27.9,18,9.9028206022922E-05
2021-04-06T18:17:13.7860000Z,27.8,18,9.9028206022922E-05
2021-04-06T18:17:33.9640000Z,27.7,18,9.9028206022922E-05
2021-04-06T18:17:54.0920000Z,27.6,19,9.9028206022922E-05
2021-04-06T18:18:14.2510000Z,27.5,19,9.9028206022922E-05
2021-04-06T18:18:34.3950000Z,27.3,19,9.9028206022922E-05
2021-04-06T18:18:54.5550000Z,27.3,19,9.9028206022922E-05
2021-04-06T18:19:14.7010000Z,27.3,19,9.9028206022922E-05
2021-04-06T18:19:34.8630000Z,27.2,19,9.9028206022922E-05
2021-04-06T18:19:55.0060000Z,27.2,19,9.9028206022922E-05
2021-04-06T18:20:15.1660000Z,27.1,19,9.9028206022922E-05
